Epoch,Train_loss,Test_loss,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1,Test_F1,Train_IOU,Test_IOU
160,0.0665,3.125,0.9871,0.8788,0.9614,0.8239,0.9739,0.8474,0.9498,0.7423
161,0.066,3.1845,0.9867,0.882,0.9623,0.8193,0.9742,0.8461,0.9504,0.7405
162,0.0648,3.2699,0.9876,0.8842,0.9619,0.8168,0.9744,0.846,0.9508,0.7402
163,0.0655,3.3216,0.9874,0.8889,0.9629,0.8151,0.9749,0.847,0.9515,0.7417
164,0.0643,3.3099,0.9873,0.8903,0.9635,0.813,0.9751,0.8465,0.9521,0.741
165,0.0627,3.412,0.9875,0.891,0.9637,0.8102,0.9753,0.8452,0.9524,0.7388
166,0.063,3.3274,0.9877,0.8914,0.964,0.8122,0.9756,0.8466,0.9529,0.741
167,0.0632,3.3702,0.9878,0.8913,0.9643,0.8126,0.9758,0.8466,0.9533,0.741
168,0.0621,3.5234,0.9873,0.897,0.9648,0.8067,0.9759,0.8458,0.9534,0.7398
169,0.0622,3.486,0.9879,0.894,0.9648,0.8105,0.9761,0.8468,0.9538,0.7411
170,0.0619,3.498,0.9877,0.8985,0.964,0.8056,0.9756,0.8458,0.953,0.7399
171,0.0614,3.706,0.9875,0.8968,0.9651,0.8057,0.9761,0.8451,0.9538,0.7387
172,0.06,3.4976,0.9882,0.8916,0.9655,0.8108,0.9766,0.8458,0.9549,0.7398
173,0.0606,3.5708,0.9879,0.8941,0.9653,0.8103,0.9764,0.8467,0.9545,0.7412
174,0.0612,3.4577,0.988,0.8949,0.9653,0.8078,0.9764,0.8454,0.9545,0.7394
175,0.062,3.5486,0.9877,0.8951,0.9659,0.8083,0.9766,0.8458,0.9548,0.7399
176,0.06,3.6021,0.9873,0.8956,0.966,0.8079,0.9764,0.8459,0.9546,0.74
177,0.059,3.4759,0.9884,0.8891,0.966,0.8153,0.977,0.8472,0.9555,0.7418
178,0.0591,3.5564,0.9884,0.8932,0.9667,0.8104,0.9773,0.8462,0.9561,0.7404
179,0.058,3.5537,0.9887,0.8925,0.9664,0.811,0.9774,0.8461,0.9562,0.7402
180,0.0602,3.526,0.9882,0.8937,0.9651,0.8102,0.9764,0.8463,0.9544,0.7405
181,0.0588,3.5586,0.9886,0.8927,0.9666,0.8112,0.9774,0.8463,0.9562,0.7406
182,0.0589,3.5902,0.9886,0.8906,0.9662,0.8144,0.9772,0.8472,0.9559,0.7419
183,0.0581,3.5205,0.9884,0.8938,0.9664,0.8107,0.9772,0.8465,0.9559,0.741
184,0.059,3.6141,0.9884,0.8951,0.9664,0.8092,0.9772,0.8462,0.9558,0.7406
185,0.0585,3.5228,0.9883,0.8949,0.9669,0.809,0.9774,0.8461,0.9563,0.7403
186,0.0587,3.5877,0.9888,0.8949,0.9661,0.8091,0.9772,0.8462,0.956,0.7405
187,0.0577,3.5474,0.989,0.8961,0.9674,0.809,0.978,0.8467,0.9574,0.7412
188,0.0586,3.5304,0.9887,0.8973,0.9672,0.8073,0.9777,0.8463,0.9569,0.7406
189,0.0578,3.5005,0.9889,0.8966,0.9673,0.8084,0.9779,0.8467,0.9572,0.7412
